GWAS Gene,PUBMEDID,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,SNPS,SNP_ID_CURRENT,P-VALUE
SLC28A1,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,15q25.3,15,84887738,rs3743162-?,rs3743162,3743162,9.00E-06
ZNF592,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,15q25.3,15,84887738,rs3743162-?,rs3743162,3743162,9.00E-06
ZNF592,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,15q25.3,15,84887738,rs3743162-?,rs3743162,3743162,9.00E-06
ALPK3,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,15q25.3,15,84887738,rs3743162-?,rs3743162,3743162,9.00E-06
ALPK3,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,15q25.3,15,84887738,rs3743162-?,rs3743162,3743162,9.00E-06
LEMD2,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,6p21.31,6,33857581,rs2104362-?,rs2104362,2104362,7.00E-06
MLN,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,6p21.31,6,33857581,rs2104362-?,rs2104362,2104362,7.00E-06
MIR1275,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,6p21.31,6,33857581,rs2104362-?,rs2104362,2104362,7.00E-06
LOC390958,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,18q21.32,18,59084822,rs1037757-?,rs1037757,1037757,8.00E-06
Sec11C,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,18q21.32,18,59084822,rs1037757-?,rs1037757,1037757,8.00E-06
PGAM5P1,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,5q21.3,5,109885325,rs112724034-?,rs112724034,112724034,9.00E-13
MAN2A1,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,5q21.3,5,109885325,rs112724034-?,rs112724034,112724034,9.00E-13
BZW2,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,7p21.1,7,16668236,rs58370486-?,rs58370486,58370486,6.00E-11
TSPAN13,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,7p21.1,7,16668236,rs58370486-?,rs58370486,58370486,6.00E-11
RRAS2,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,11p15.2,11,14202800,rs11023139-?,rs11023139,11023139,7.00E-11
PSMA1,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,11p15.2,11,14202800,rs11023139-?,rs11023139,11023139,7.00E-11
SPON1,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,11p15.2,11,14202800,rs11023139-?,rs11023139,11023139,7.00E-11
OSBPL7,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,17q21.32,17,47853173,rs4794202-?,rs4794202,4794202,8.00E-08
SP6,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,17q21.32,17,47853173,rs4794202-?,rs4794202,4794202,8.00E-08
SP6,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",10p14,10,11678309,rs7920721-G,rs7920721,7920721,3.00E-08
SP6,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",10p14,10,11678309,rs7920721-G,rs7920721,7920721,3.00E-06
MRPL10,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,17q21.32,17,47853173,rs4794202-?,rs4794202,4794202,8.00E-08
PVR,22159054,A comprehensive genetic association study of Alzheimer disease in African Americans.,Alzheimer's disease,"513 African American cases, 496 African American controls",NA,19q13.32,19,44878777,rs6859-A,rs6859,6859,5.00E-07
PVR,20885792,Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.,Alzheimer's disease (late onset),"931 cases, 1,104 controls","1,338 cases, 2,003 controls",19q13.32,19,44878777,rs6859-A,rs6859,6859,1.00E-07
PVR,18823527,A genome-wide association study for late-onset Alzheimer's disease using DNA pooling.,Alzheimer's disease,"1,082 European ancestry cases, 1,239 European ancestry controls","1,400 controls",19q13.32,19,44878777,rs6859-A,rs6859,6859,6.00E-14
PVR,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,19q13.32,19,44919689,rs4420638-?,rs4420638,4420638,1.00E-12
PVR,23419831,APOE and BCHE as modulators of cerebral amyloid deposition: a florbetapir PET genome-wide association study.,Alzheimer's disease biomarkers,555 European ancestry individuals,NA,19q13.32,19,44888997,rs6857-T,rs6857,6857,1.00E-10
PVR,24755620,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.,Alzheimer's disease,"2,540 European ancestry cases, 2,029 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,9.00E-116
PVR,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
PVR,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
PVR,23565137,"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians.",Alzheimer's disease (late onset),"891 Japanese ancestry cases, 844 Japanese ancestry controls","1,224 East Asian ancestry cases, 2,114 East Asian ancestry controls, 11,840 European ancestry cases, 10,931 European ancestry controls",19q13.32,19,44873027,rs519113-G,rs519113,519113,5.00E-39
EXOC3L2,24755620,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.,Alzheimer's disease,"2,540 European ancestry cases, 2,029 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,9.00E-116
BCL3,24755620,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.,Alzheimer's disease,"2,540 European ancestry cases, 2,029 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,9.00E-116
BCL3,23565137,"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians.",Alzheimer's disease (late onset),"891 Japanese ancestry cases, 844 Japanese ancestry controls","1,224 East Asian ancestry cases, 2,114 East Asian ancestry controls, 11,840 European ancestry cases, 10,931 European ancestry controls",19q13.32,19,44873027,rs519113-G,rs519113,519113,5.00E-39
FANCD2,24755620,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.,Alzheimer's disease,"2,540 European ancestry cases, 2,029 European ancestry controls",NA,3p25.3,3,10093893,rs1552244-A,rs1552244,1552244,2.00E-06
FANCD2OS,24755620,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.,Alzheimer's disease,"2,540 European ancestry cases, 2,029 European ancestry controls",NA,3p25.3,3,10093893,rs1552244-A,rs1552244,1552244,2.00E-06
NARS2,25649651,Genetic Determinants of Survival in Patientswith Alzheimerâ€™s Disease.,Alzheimer's disease (survival time),983 cases,NA,11q14.1,11,78493334,rs4474465-?,rs4474465,4474465,3.00E-06
ACTL8,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,1p36.13,1,17877570,rs186911969-T,rs186911969,186911969,3.00E-07
IGSF21,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,1p36.13,1,17877570,rs186911969-T,rs186911969,186911969,3.00E-07
GLT25D2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,1q25.3,1,183941302,rs137929838-T,rs137929838,137929838,3.00E-07
RGL1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,1q25.3,1,183941302,rs137929838-T,rs137929838,137929838,3.00E-07
TSEN15,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,1q25.3,1,183941302,rs137929838-T,rs137929838,137929838,3.00E-07
ABCB11,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,2q31.1,2,168969959,rs7576531-T,rs7576531,7576531,1.00E-06
SPC25,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,2q31.1,2,168969959,rs7576531-T,rs7576531,7576531,1.00E-06
G6PC2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,2q31.1,2,168969959,rs7576531-T,rs7576531,7576531,1.00E-06
DHRS9,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,2q31.1,2,168969959,rs7576531-T,rs7576531,7576531,1.00E-06
GSK3B,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,3q13.33,3,119865430,rs140442947-C,rs140442947,140442947,1.00E-07
C3orf15,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,3q13.33,3,119865430,rs140442947-C,rs140442947,140442947,1.00E-07
NR1I2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,3q13.33,3,119865430,rs140442947-C,rs140442947,140442947,1.00E-07
PHBP8,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,3q13.33,3,119865430,rs140442947-C,rs140442947,140442947,1.00E-07
GPR156,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,3q13.33,3,119865430,rs140442947-C,rs140442947,140442947,1.00E-07
ARAP2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,4p14,4,36187535,rs116105213-C,rs116105213,116105213,4.00E-07
SEC63P2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,4p14,4,36187535,rs116105213-C,rs116105213,116105213,4.00E-07
IRF2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,4q35.1,4,184407819,rs17488073-G,rs17488073,17488073,2.00E-07
RPL6P16,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,4q35.1,4,184407819,rs17488073-G,rs17488073,17488073,2.00E-07
CASP3,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,4q35.1,4,184407819,rs17488073-G,rs17488073,17488073,2.00E-07
RPL34P16,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,6p25.1,6,5877202,rs182645021-C,rs182645021,182645021,5.00E-07
NRN1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,6p25.1,6,5877202,rs182645021-C,rs182645021,182645021,5.00E-07
RPL31P32,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,6q14.3,6,85308630,rs10455152-C,rs10455152,10455152,8.00E-07
KRT18P30,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,6q14.3,6,85308630,rs10455152-C,rs10455152,10455152,8.00E-07
NT5E,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,6q14.3,6,85308630,rs10455152-C,rs10455152,10455152,8.00E-07
LINC00271,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,6q23.3,6,135756791,rs79846291-T,rs79846291,79846291,2.00E-08
CYP51A1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,7q21.2,7,92101277,rs149454736-T,rs149454736,149454736,2.00E-07
LRRD1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,7q21.2,7,92101277,rs149454736-T,rs149454736,149454736,2.00E-07
KRIT1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,7q21.2,7,92101277,rs149454736-T,rs149454736,149454736,2.00E-07
DSCAML1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,11q23.3,11,117780161,rs139934868-G,rs139934868,139934868,1.00E-07
CEP164,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,11q23.3,11,117780161,rs139934868-G,rs139934868,139934868,1.00E-07
FXYD2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,11q23.3,11,117780161,rs139934868-G,rs139934868,139934868,1.00E-07
FXYD6-FXYD2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,11q23.3,11,117780161,rs139934868-G,rs139934868,139934868,1.00E-07
FXYD6,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,11q23.3,11,117780161,rs139934868-G,rs139934868,139934868,1.00E-07
COG4,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,16q22.1,16,70602635,rs78927322-G,rs78927322,78927322,1.00E-07
SF3B3,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,16q22.1,16,70602635,rs78927322-G,rs78927322,78927322,1.00E-07
SNORD111B,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,16q22.1,16,70602635,rs78927322-G,rs78927322,78927322,1.00E-07
SNORD111,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,16q22.1,16,70602635,rs78927322-G,rs78927322,78927322,1.00E-07
MTSS1L,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,16q22.1,16,70602635,rs78927322-G,rs78927322,78927322,1.00E-07
VAC14,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,16q22.1,16,70602635,rs78927322-G,rs78927322,78927322,1.00E-07
MIR365-2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,17q11.2,17,31761101,rs146446983-C,rs146446983,146446983,7.00E-07
C17orf79,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,17q11.2,17,31761101,rs146446983-C,rs146446983,146446983,7.00E-07
ZNF30,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.11,19,34915156,rs62125664-A,rs62125664,62125664,6.00E-07
ZNF792,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.11,19,34915156,rs62125664-A,rs62125664,62125664,6.00E-07
GRAMD1A,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.11,19,34915156,rs62125664-A,rs62125664,62125664,6.00E-07
SLC25A5P3,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (immediate recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,7p11.2,7,54496119,rs147906088-T,rs147906088,147906088,8.00E-08
VSTM2A,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (immediate recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,7p11.2,7,54496119,rs147906088-T,rs147906088,147906088,8.00E-08
C8orf83,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (immediate recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,8q22.1,8,93011994,rs56214552-G,rs56214552,56214552,4.00E-07
IRF5P1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (immediate recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,8q22.1,8,93011994,rs56214552-G,rs56214552,56214552,4.00E-07
FAM92A1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (immediate recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,8q22.1,8,93011994,rs56214552-G,rs56214552,56214552,4.00E-07
OR7E116P,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (immediate recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,9q22.2,9,90331096,rs6479525-A,rs6479525,6479525,9.00E-07
RSPO4,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (immediate recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,20p13,20,959154,rs62187521-T,rs62187521,62187521,5.00E-07
ANGPT4,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (immediate recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,20p13,20,959154,rs62187521-T,rs62187521,62187521,5.00E-07
PSMF1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (immediate recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,20p13,20,959154,rs62187521-T,rs62187521,62187521,5.00E-07
PCNPP2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (delayed recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,9q22.1,9,88973603,rs117905930-T,rs117905930,117905930,7.00E-08
C9orf47,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (delayed recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,9q22.1,9,88973603,rs117905930-T,rs117905930,117905930,7.00E-08
S1PR3,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (delayed recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,9q22.1,9,88973603,rs117905930-T,rs117905930,117905930,7.00E-08
SHC3,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (delayed recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,9q22.1,9,88973603,rs117905930-T,rs117905930,117905930,7.00E-08
EDNRB,21116278,Genome-wide association with MRI atrophy measures as a quantitative trait locus for Alzheimer's disease.,Total ventricular volume (Alzheimer's disease interaction),"424 European ancestry mild cognitive impairment cases, 236 European ancestry Alzheimer's disease cases, 279 European ancestry controls",NA,13q22.3,13,78234779,rs9574199-?,rs9574199,9574199,7.00E-06
POU4F1,21116278,Genome-wide association with MRI atrophy measures as a quantitative trait locus for Alzheimer's disease.,Total ventricular volume (Alzheimer's disease interaction),"424 European ancestry mild cognitive impairment cases, 236 European ancestry Alzheimer's disease cases, 279 European ancestry controls",NA,13q22.3,13,78234779,rs9574199-?,rs9574199,9574199,7.00E-06
YAP1,21116278,Genome-wide association with MRI atrophy measures as a quantitative trait locus for Alzheimer's disease.,Whole-brain volume (Alzheimer's disease interaction),"434 European ancestry mild cognitive impairment cases, 245 European ancestry Alzheimer's disease cases, 284 European ancestry controls",NA,11q22.1,11,102284743,rs2852894-?,rs2852894,2852894,1.00E-06
BIRC3,21116278,Genome-wide association with MRI atrophy measures as a quantitative trait locus for Alzheimer's disease.,Whole-brain volume (Alzheimer's disease interaction),"434 European ancestry mild cognitive impairment cases, 245 European ancestry Alzheimer's disease cases, 284 European ancestry controls",NA,11q22.1,11,102284743,rs2852894-?,rs2852894,2852894,1.00E-06
CEACAM16,23565137,"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians.",Alzheimer's disease (late onset),"891 Japanese ancestry cases, 844 Japanese ancestry controls","1,224 East Asian ancestry cases, 2,114 East Asian ancestry controls, 11,840 European ancestry cases, 10,931 European ancestry controls",19q13.32,19,44873027,rs519113-G,rs519113,519113,5.00E-39
GRIN3B,23571587,"Variants in the ATP-binding cassette transporter (ABCA7), apolipoprotein E Ïµ4,and the risk of late-onset Alzheimer disease in African Americans.",Alzheimer's disease (late onset),"1,968 African American cases, 3,928 African American controls",,19p13.3,19,1050421,rs115550680-G,rs115550680,115550680,2.00E-09
HBEGF,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",5q31.3,5,140327854,rs11168036-T,rs11168036,11168036,7.00E-09
HBEGF,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",5q31.3,5,140327854,rs11168036-T,rs11168036,11168036,3.00E-07
PFDN1,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",5q31.3,5,140327854,rs11168036-T,rs11168036,11168036,7.00E-09
PFDN1,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",5q31.3,5,140327854,rs11168036-T,rs11168036,11168036,3.00E-07
